country_region,data_quality,hdi,per_capita_gdp,region,income_group,population_millions,cropland_footprint,grazing_footprint,forest_product_footprint,carbon_footprint,fish_footprint,built_up_land,total_ecological_footprint_production,cropland_footprint_2,grazing_footprint_2,forest_product_footprint_2,carbon_footprint_2,fish_footprint_2,built_up_land_2,total_ecological_footprint_consumption,cropland,grazing_land,forest_land,fishing_ground,built_up_land_3,total_biocapacity,ecological_deficit_or_reserve,number_of_earths_required,number_of_countries_required
"* Data values for countries with a ""D"" quality score are from 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0 = less than 0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,3A,0.479,610.242,Middle East/Central Asia,LI,31.628,0.25169107737891,0.18037063693489,0.0607341185209285,0.106640582977185,0.0000485655224425524,0.0461250139386817,0.645609995273038,0.313917306762986,0.186871410754574,0.0702153775080761,0.154883188731789,0.000247764426325485,0.0461250139386817,0.772260062122433,0.25169107737891,0.187020286399772,0.0192403236285643,0,0.0461250139386817,0.504076701345928,-0.268183360776505,0.45912017621489,1.53202887588423
Albania,3A,0.762,4413.562,Other Europe,UM,2.89,0.395455656297986,0.218572319547909,0.165919537502868,0.593520490054175,0.00954778852308971,0.0397722810075182,1.42278807293355,0.650139556856189,0.23894360095256,0.290271920396338,0.897236602356146,0.0252706753848341,0.0397722810075182,2.14163463695358,0.395455656297986,0.218572319547909,0.315863090589194,0.0818836556522957,0.0397722810075182,1.0515470030949,-1.09008763385868,1.27323387565024,2.03665136284954
Algeria,2A,0.743,4675.885,Africa,UM,38.934,0.202869591610507,0.125709865503502,0.0860501107431805,1.17394561259209,0.00757828979058589,0.0280628419188919,1.62421631215875,0.582685019385848,0.183246026662043,0.17310936809724,1.46621157978406,0.0154403899596691,0.0280628419188919,2.44875522580775,0.202869591610507,0.274074611894125,0.0282722736428424,0.00825125331879849,0.0280628419188919,0.541530572385165,-1.90722465342259,1.4558216667195,4.52191501399863
Angola,3A,0.531,3747.568,Africa,LM,24.228,0.249504769953283,0.0784204935337329,0.103665618276807,0.28668265243009,0.0930484252626316,0.0472580794941716,0.858580038950715,0.383092755054366,0.0959563660820006,0.110244086273297,0.774420570760956,0.147901521874902,0.0472580794941716,1.55887337953969,0.249504769953283,1.22949516567757,0.539372840238593,0.22470559011024,0.0472580794941716,2.29033644547386,0.73146306593417,0.926773577729694,0.680630735549932
Antigua and Barbuda,2B,0.784,12403.528,Latin America,HI,0.091,,,,,,,2.18933319887101,,,,,,,4.18447374693331,,,,,,0.933321581949673,-3.25115216498364,2.48773233045168,4.48342117857395
Argentina,3A,0.826,10323.207,Latin America,UM,42.98,2.58888225816505,1.01500316676511,0.219481204161646,1.55993554084485,0.200259934950285,0.105008823013305,5.68857092790025,1.12933362545771,0.842534073332575,0.245152101929075,1.2810487414765,0.0866509113572125,0.105008823013305,3.68972827656638,2.58888225816505,1.79234070535454,0.610837953906152,1.61197700689635,0.105008823013305,6.7090467473354,3.01931847076902,2.19359873650134,0.549963119280964
Armenia,3A,0.741,3827.343,Middle East/Central Asia,LM,3.006,0.353566421169916,0.171779444104569,0.19795743485899,0.617731288123508,0.000562896043716586,0.0615559272388981,1.4031534115396,0.621757962435781,0.22441449806306,0.252692799526015,0.851708106482012,0.00646562036739563,0.0615559272388981,2.01859491411316,0.353566421169916,0.261703192809304,0.0935463088236566,0.0155337698020586,0.0615559272388981,0.785905619843833,-1.23268929426933,1.20008491715474,2.5684953296482
Aruba,2B,,,Latin America,HI,0.103,,,,,,,2.92835242238932,,,,,,,6.40752022715923,,,,,,0.571144371333493,-5.83637585582574,3.80936676656396,11.2187400397541
